codpanelista2,wave,sex,age,education,hhincome,livingpartner,lrself,voteintentionspain,polintr,femindexa,femindexb,femindexc,femindexd,femindexe,femindexf,femindexg,femindexh,femindexi,authoa,authob,authoc,authod,populisma,populismb,populismc,populismd,populisme,populismf,immigeco,immicult,femstrike,femdemonstrate,feminfo,femtalk,constpref,vote2016
3874,2018,1,32,3,5,1,5,54,3,1,6,1,1,1,6,1,4,1,2,2,2,2,7,4,4,7,7,7,3,3,2,2,2,2,4,NA
3875,2018,1,39,1,1,0,0,54,2,1,1,1,1,1,1,1,1,1,2,2,2,2,1,1,1,1,1,1,0,0,1,1,1,1,3,NA
3875,2019,1,40,5,1,1,0,54,2,7,7,7,7,7,7,7,7,7,1,1,1,1,7,7,7,7,7,7,10,10,2,2,2,2,3,NA
3875,2020,1,41,5,1,1,5,53,4,4,1,7,4,4,1,1,5,6,2,2,2,2,7,7,7,7,7,7,0,10,2,2,2,2,4,NA
3876,2018,2,44,2,4,0,8,2,2,4,4,5,5,4,5,4,5,6,2,1,2,2,5,5,5,6,5,4,7,7,2,2,1,1,3,2
3877,2018,1,52,3,99,0,5,54,4,3,7,1,1,3,7,7,5,1,1,1,2,1,7,7,7,1,7,7,7,5,2,2,1,1,4,NA
3877,2019,1,53,1,2,1,5,54,1,1,5,1,1,4,5,5,3,1,1,1,2,1,7,7,6,1,7,7,5,0,2,1,2,1,4,NA
3877,2020,1,54,1,1,1,2,51,2,1,5,1,1,4,5,5,2,1,1,1,2,1,7,7,7,1,7,7,6,0,2,2,2,1,4,NA
3878,2018,2,33,3,3,0,6,7,3,1,6,2,2,2,6,6,2,2,1,2,2,1,7,2,6,4,6,4,3,4,1,1,1,2,5,7
3878,2019,2,34,2,3,0,1,1,3,4,7,7,4,7,7,7,5,5,2,2,1,1,4,7,7,4,1,7,5,7,2,2,2,2,5,NA
3878,2020,2,35,2,3,0,3,51,3,4,5,5,1,5,5,4,4,4,1,2,2,1,5,4,4,5,4,7,1,3,2,2,2,2,3,NA
3879,2018,1,36,10,9,1,10,53,2,5,1,5,6,5,1,1,7,6,2,2,1,2,3,2,5,2,3,6,2,10,2,2,2,2,2,NA
3879,2019,1,36,10,8,1,10,53,2,6,1,5,5,6,1,1,6,6,2,2,2,1,6,1,5,3,2,5,2,8,2,2,2,1,2,NA
3879,2020,1,37,10,8,1,6,55,2,6,1,4,6,7,2,2,6,7,2,1,2,2,6,3,6,3,3,7,3,9,2,2,2,2,2,NA
3880,2018,2,47,3,2,1,0,53,3,4,7,4,1,3,4,4,7,5,2,2,2,1,7,2,5,5,5,7,4,5,2,2,2,2,1,56
3880,2019,2,48,1,1,1,4,54,3,2,5,4,4,5,6,5,6,3,2,2,2,2,5,5,7,5,5,7,4,10,2,2,2,1,3,NA
3880,2020,2,49,3,5,1,0,52,4,3,5,5,1,4,4,5,5,4,2,2,2,1,6,6,7,6,7,7,5,5,2,2,2,2,1,NA
3881,2018,2,27,3,99,0,5,54,4,4,4,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,2,1,2,2,2,2,4,NA
